7zip 26.02-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260526.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.6.8-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
android-udev 20260423-1
aom 3.14.1-1
apparmor 4.1.7-1
appimagelauncher 3.0.0_beta_3-1
appimagepool-appimage 5.1.0-1.1
appmenu-gtk-module 25.04-3
appstream 1.1.6-1
appstream-glib 0.8.4-1
appstream-qt 1.1.6-1
arch-audit 0.2.0-5
archlinux-appstream-data 20260722-1
archlinux-keyring 20260727-1
argon2 20190702-6
arj 3.10.22-14
ark 26.04.3-1
at-spi2-core 2.60.6-1
attica 6.28.0-1
attr 2.6.0-1
audit 4.2.1-1
aurorae 6.7.4-1
autoconf 2.73-1
automake 1.18.1-1
autorandr 1.15-2
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
b43-fwcutter 020-1
baloo 6.28.0-1
baloo-widgets 26.04.3-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
bazarr 1.6.0-3
beautyline 2:3.0.5-1
bind 9.20.26-1
binutils 2.47-4
bison 3.8.2-8
bitwarden 2026.3.1-2
blas 3.12.1-2
bluedevil 1:6.7.4-1
bluetooth-support 1-7
bluez 5.87-2
bluez-hid2hci 5.87-2
bluez-libs 5.87-2
bluez-qt 6.28.0-1
bluez-tools 0.2.0-6
bluez-utils 5.87-2
bolt 0.9.11-3
boost-libs 1.91.0-2
botan 3.13.0-1
bottom 0.14.8-1
brave-bin 1:1.93.136-1
brave-origin-bin 1:1.93.136-1
breeze 6.7.4-1
breeze-cursors 6.7.4-1
breeze-icons 6.28.0-1
bridge-utils 1.7.1-5
brightnessctl 0.5.1-3
brotli 1.2.0-1
btrfs-assistant 2.3-2
btrfs-progs 7.1-1
btrfsmaintenance 0.5.2-3
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
candy-icons-git r1369.83512fb-1
capstone 5.0.9-1
cblas 3.12.1-2
cdparanoia 10.2-10
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
chromaprint 1.6.1-2
cifs-utils 7.5-1
clinfo 3.0.25.02.14-1
clucene 2.3.3.4-17
